"Headline_name","Headline_url","Headline_Category","Headline_Category_url","Headline_Article_name"
"Ukraine vows to keep fighting as Russia forces close on Kyiv","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","World","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","Kyiv – A defiant President Volodymyr Zelenskiy said Ukrainian forces were repelling Russian troops advancing on Kyiv on Saturday, as Western nations announced they were shipping more weapons to help the country’s outgunned military."
"Ukraine vows to keep fighting as Russia forces close on Kyiv","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","World","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","Witnesses in Kyiv reported occasional blasts and gunfire in the city on Saturday evening, but it was not clear exactly where it was coming from. The capital and other cities have been pounded by Russian artillery and cruise missiles."
"Ukraine vows to keep fighting as Russia forces close on Kyiv","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","World","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","A U.S. defense official said Ukraine’s forces were putting up “very determined resistance” to the three-pronged Russian advance that has sent hundreds of thousands of Ukrainians fleeing westwards, clogging major highways and railway lines."
"Ukraine vows to keep fighting as Russia forces close on Kyiv","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","World","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","“We have withstood and are successfully repelling enemy attacks. The fighting goes on,” Zelenskiy said in a video message from the streets of Kyiv posted on his social media."
"Ukraine vows to keep fighting as Russia forces close on Kyiv","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","World","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","Russian President Vladimir Putin launched what he called a special military operation before dawn on Thursday, ignoring Western warnings and saying the “neo-Nazis” ruling Ukraine threatened Russia’s security."
"Ukraine vows to keep fighting as Russia forces close on Kyiv","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","World","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","The Kremlin said its troops were advancing again “in all directions” after Putin ordered a pause on Friday."
"Ukraine vows to keep fighting as Russia forces close on Kyiv","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","World","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","Russia’s assault is the biggest on a European state since World War II and threatens to upend the continent’s post-Cold War order."
"Ukraine vows to keep fighting as Russia forces close on Kyiv","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","World","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","The crisis has galvanized the NATO Western military alliance, which has announced a series of moves to reinforce its eastern flank. While NATO has said it will not deploy troops to Ukraine, a string of countries are sending military aid."
"Ukraine vows to keep fighting as Russia forces close on Kyiv","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","World","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","U.S. President Joe Biden approved the release of up to $350 million worth of weapons from U.S. stocks, while Germany, in a shift from its long-standing policy of not exporting weapons to war zones, said it would send anti-tank weapons and surface-to-air missiles."
"Ukraine vows to keep fighting as Russia forces close on Kyiv","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","World","https://www.japantimes.co.jp/news/2022/02/27/world/russia-ukraine-weapons-west/","France will also send defensive weapons and fuel to Ukraine, the French presidential office said on Saturday, adding that the country would also take action against Russian media and influencers spreading misinformation about the Ukraine war."
