,title,byline,date,content,month_year
0,COVID loneliness crisis – here's how you can fight this pandemic side effect,"Nicole Saphier, M.D.",2022-03-15 14:00:00,"  close     video   cdc has done a ‘disservice’ to americans’: nicole saphier    fox news medical contributor tells ‘america reports’ that the cdc ‘is not a leader when it comes to public health.’ new you can now listen to fox news articles!
   being lonely is the  feeling of being alone , regardless of how much social contact someone has. it can affect us all – young, old and in between – and at any point in life. nearly two years ago,  nationwide stay-at-home measures , subsequent business closures and the start of what came to be a perpetual state of fear imposed by media and public health entities took hold of america. overnight, it turned usually active cities like nyc into ghost towns, leaving people with some level of social isolation for the next two years.     
      
       (istock) as  the new york times  recently pointed out, this was done with little benefit as stay-at-home orders had no measurable long-term effect on overall reduction of covid-19 case counts and viral transmission. what did occur though is the fueling of an existing loneliness crisis of which the consequences are only now beginning to be seen. covid lockdown lessons learned – fauci amendment would mean no more health ‘dictator in chief’ early in the pandemic, in april 2020, 53% of americans said they felt lonely or isolated within the past week – an increase from the year before. more recently, now in 2022, citywide health surveys in nyc found that 67% felt socially isolated in the prior four weeks.   video countless research has been published on the negative health effects of loneliness and social isolation, including inflammation and elevated stress hormones that can result in many bodily diseases. this week, the cdc released a report linking social isolation with a 50% increased risk of dementia, a 29% increased risk of heart disease and a 32% increased risk of stroke. public health entities have a responsibility to americans to broaden access to resources to combat the loneliness epidemic, but there are things we as individuals can do too. humans are social beings, and the covid-19 pandemic has disrupted our natural tendencies.   give yourself a break:  if you aren’t being kind to yourself, you aren’t giving reason for others to be either. blaming yourself won’t help you out of feeling lonely but encouraging yourself and getting to the best place mentally and physically can. stop with the unkind self-talk and take care of yourself. remember, everyone flops, and there is no need to feel bad about it when you do.  be nicer to yourself by practicing kinder self-talk, getting better sleep, spending more time outdoors, improving your diet and buying yourself a treat occasionally. all of this can help boost the much-needed vitamins, minerals and hormones your body needs to focus on feeling less lonely.   video click here to get the opinion newsletter be kind to others:  doing things for others can increase serotonin levels, the hormone responsible for feelings of satisfaction and happiness. also, like exercise, helping others also releases endorphins, which can reduce stress and improve sleep. so, consider volunteering, buying someone lunch or donating to a worthy cause. not only are you helping others, but you are also helping yourself. engage in person with people:  interacting with people face-to-face can improve our mood and reduce feelings of anxiety and depression. activities that involve other people, like going to church, sports activities and other community gatherings can increase a sense of belonging with positive effects on our mental health.   video refocus online presence:  rather than passively browsing social media, do something that involves active (healthy) participation with other people. trolling and criticizing others does not count. what i am talking about is playing online games, like chess, with another person. consider joining a forum or comment on content you have an interest in. the more you interact with others while online, the more connected you can feel. click here to get the fox news app spend wisely:  instead of spending money online shopping for the latest clothes, digital accessory or what-not, refocus your money to savings and experiences. buying the latest trend has short-lived excitement but placing money in savings and using it for an experience can have a lasting impact. experiences can be as small as attending a museum, going to the theater or as big as skydiving, travel. the sky truly is the limit. spending money on experiences is much better for our mental health and who knows, you may make a friend while doing it. humans are social beings, and the covid-19 pandemic has disrupted our natural tendencies. the long-term consequences on our health will be extreme. before it’s too late, refocus and engage in quality social relationships to improve your chances of living a longer, healthier life. click here to read more from dr. nicole saphier  ",2022-03
1,Republicans go for kill shot on COVID transportation mask mandates: 'About time',Tyler Olson,2022-03-15 14:09:00,"  close     video   fox news flash top headlines for march 15   fox news flash top headlines are here. check out what's clicking on foxnews.com. new you can now listen to fox news articles!
   most  americans  no longer need to wear masks in  schools  or public places, and senate republicans tuesday pushed for an end to one of the most far-reaching  covid-19  mask mandates left – transportation. ""i've got a crazy idea. the american people should have the same mask rules that members of congress had at the state of the union address,"" sen. ted cruz, r-texas, said. ""just two weeks ago, we saw 535 members of congress sitting on the floor of the house. i don't think there were five masks among them,"" cruz continued. ""joe biden didn't have a mask. kamala harris didn't have a mask. nancy pelosi didn't have a mask."" state and local governments lifted nearly all kinds of mask mandates in the past month as the winter omicron wave of the virus receded. the centers for disease control and prevention (cdc) also loosened its mask recommendations – a move some  republicans alleged  had more to do with the upcoming midterms than any change in the science.  rand paul to introduce amendment to remove ‘petty tyrant’ fauci from his position as niaid director but president biden last week nevertheless extended the federal transportation mask mandate. this affected americans riding in airplanes, commuter trains, and in buildings connected to such forms of transportation as train stations and airports.  cruz and a handful of other senate republicans attacked that extension tuesday as unnecessary and not supported by the science.  ""the current mandate was set to expire on march 18,"" sen. roger wicker, r-miss., said. ""we were satisfied with that… unfortunately for whatever reason, it certainly was not a scientific reason, the biden administration chose not to listen to the science and decided to extend the mask mandate for another month.""       
          next
           image 1 of 2   passengers wait in line inside the terminal at newark liberty international airport in newark, new jersey, nov. 24, 2021.   (reuters/eduardo munoz)     
          prev
             image 2 of 2   air travelers make their way past a sign mandating face masks at phoenix international airport in arizona, sept. 24, 2021.   (reuters/mike blake) ""when the mask mandate was set to expire on public transportation on the 18th of march, we were all saying it's about time,"" sen. james lankford, r-okla., said. ""and then the administration announces, 'no just kidding. we're going to move that to now the 18th of april and then we'll reevaluate it again.'""  ""the american people want the freedom to choose,"" he added. ""why don't we let americans be americans in to be able to choose in this process. the entire country is setting aside the mask mandates."" dr. makary: covid virus ‘behaving less dangerous’ than traditional flu if the biden administration rolls back the federal transportation mask mandate, for many americans it would effectively remove the last mask or covid-related mandate they're forced to comply with as part of their daily lives.  at the recommendation of the cdc, the biden administration announced last week the transportation security administration (tsa) mask mandate will extend through at least april 18. it was set to expire on friday of this week.      
      a sign greets travelers checking in for their delta airlines flight at the miami international airport on feb. 1, 2021, in florida. (joe raedle/getty images)
       ""during that time, cdc will work with government agencies to help inform a revised policy framework for when, and under what circumstances, masks should be required in the public transportation corridor,"" an administration official told fox news. ""this revised framework will be based on the covid-19 community levels, risk of new variants, national data, and the latest science."" click here to get the fox news ap the pandemic just passed its two-year anniversary – the world health organization (who) declared the virus a pandemic on march 11, 2020. more than 965,000 americans have died of covid-19 since the start of the pandemic, compared to nearly 80 million confirmed cases of the virus.  but the proliferation of available vaccines for the past year, plus an increasing number of americans with a previous infection after the omicron wave, appear to be reducing case counts and hospitalizations significantly since the winter.  ""i wonder why they want to control peoples' lives, in airports and in airplanes,"" wicker said of the mask mandates. ""just because the government's powerful, they can do it if they'd like to? listen, for months, these rules have been nonsense.""  fox news' mark meredith contributed to this report.   ",2022-03
2,10 biggest COVID mistakes – Americans deserve an apology from the medical experts,Dr. Marty Makary,2022-03-16 05:00:00,"  close     video   dr. makary: covid virus 'behaving less dangerous' than traditional flu   fox news medical contributor dr. marty makary says that a new report reveals that vaccinated immunity as well as natural immunity has reduced the mortality by about 90% and that omicron is now considered less virulent intrinsically than certain flu strains. new you can now listen to fox news articles!
   the medical establishment has  marched in lockstep on covid-19 , presenting a consensus of expertise as they marginalized physicians who had different opinions. two years into the pandemic, it’s fair to ask, how did public health officials do?  surface transmission   wash your hands like crazy (at least 20 seconds) and pour alcohol-based solutions on your grocery bags to stop covid transmission, you were told for months. despite being an expert,  dr. anthony fauci  immediately applied the influenza surface transmission model to covid. the logical starting hypothesis should have been that covid was aerosolized.      
      dr. anthony fauci, director of the niaid, participates in the white house covid-19 response team's regular call with the national governors association on the white house campus on dec. 27, 2021.
       (ap photo/carolyn kaster) there are only three coronaviruses that cause serious illness in humans:  sars, mers and covid . sars and mers spread by air. why did dr. fauci think covid was so different? the nih could have done the definitive experiment in one day to get the answer. it’s ok to be wrong in science, but not for months when the national institutes of health could have spent a fraction of its $42 billion budget to instantly establish how covid spreads.   no hospital visitation   the barbaric policy of banning loved ones from holding the hand of their dying loved one and saying goodbye was a human rights violation that spanned much of the pandemic. all the so-called experts and the medical establishment were complicit, allowing this cruel policy to be instituted while abandoning their duty to respect the dignity of human life. as a physician, i can assure you there are things worse than dying.  covid lockdown lessons learned – fauci amendment would mean no more health ‘dictator in chief’   video closing schools   the centers for disease control and prevention argued they were using science to close schools, but many private schools and most schools in florida and other states remained open throughout (with no difference covid outcomes). the cdc director initially said schools were safe but was swiftly corrected by the white house the following day. it later came out that the teachers’ unions had made edits to the draft school closure policy before it was issued (kids did not have a chance to make edits). now studies are revealing the catastrophic harm to a generation of children – significant motor and cognitive declines and a mental health crisis. in baltimore, many kids never logged on to virtual learning and were never seen in class again.    video ignoring natural immunity   ironically, when public health officials insisted that those who had natural immunity be fired for not being vaccinated, they fired those least likely to spread the infection in the workplace.  drs. fauci and rochelle walensky never talked about natural immunity and instead created the imprecise construct of the vaccinated and the unvaccinated. in reality, most unvaccinated americans have antibodies that neutralized the virus, but they are antibodies that the government did not recognize. eventually the data came in. natural immunity was 2.8 times better in preventing hospitalization than vaccinated immunity and having both meant you had the same protection as natural immunity alone.  the singular focus on vaccines meant that little attention was paid to lifesaving therapeutics.   downplaying therapeutics   the singular focus on vaccines meant that little attention was paid to lifesaving therapeutics. for example, paxlovid is an antiviral medication that reduced covid deaths to zero in the clinical trial, yet not enough has been produced. fluvoxamine, an $10 anti-depressant medication that has been available for years, was found in two reputable studies to reduce covid death, up to 91% in the latest study (no study suggests it’s not effective). yet, few doctors are aware of these data because our public health officials have never talked about fluvoxamine.  not spacing out vaccine doses   spacing out vaccine doses makes a vaccine more effective and lowers the side effect profile. it also would have allowed the u.s. to save more lives when we were rationing a scarce vaccine supply. yet public health officials dismissed pleas to space out the doses as many of us called for.    video ironically, just three weeks ago, after 250 million americans received the vaccine, the cdc finally changed their guidance to recommend longer intervals between doses. the cdc acknowledged it was to reduce serious adverse effects such as myocarditis. myocarditis is now recognized to occur in 1 in 1,862 young males after the second vaccine dose.  cloth masks   the u.s. remains an international outlier by masking toddlers. at this point the only people in america still forced to wear masks are children, waiters, servers and staff. the nih could have funded researchers to properly study each mask type in the first 10 days of the pandemic, but they failed to pivot funding to do so. current data suggests that covering the faces of children for two years with a cloth mask had zero benefit and some harm.    video promising no vaccines mandates, then breaking it   this was a stated promise made by president biden, fauci and many others – a social contract. they then broke their promise insisting that any unvaccinated workers, regardless of their risk or natural immunity, be fired. they demanded that soldiers be dishonorably discharged and nurses be laid off in the middle of a staffing crisis.  click here to get the opinion newsletter this policy ignited a debate over civil liberties, which ultimately divided the country and hardened many toward the idea of vaccination. at the same time, the food and drug administration has been delinquent in authorizing the covaxin and novavax vaccines, which use traditional vaccine technology.    video downplaying a lab leak   a bombshell investigation by ""special report"" host bret baier of fox news revealed that prominent u.s. virologists told drs. fauci and francis collins of their concern that the virus may have been manipulated and originated in the lab, but then suddenly changed their tune in public comments days after meeting with the nih officials. the virologists were later awarded nearly $9 million from fauci’s agency.  boosters for young people   two top fda officials quit in protest because of political pressure to approve boosters in young people. the fda issued the authorization by not convening their vaccines and related biological products advisory committee – a highly unusual break from historic precedent.  a study in the new england journal of medicine found that the mortality risk of an un-boosted person under age 30 was zero. you can’t lower a risk of zero any further with a booster.    video click here to get the fox news app throughout the pandemic, all covid decisions were made by a small group of like-minded government doctors who often replaced the scientific method with medical dogma. they had tremendous influence over medical universities, scientific journals and medical societies. in fact, nearly all of these entities received funding from drs. fauci and collins and from big pharma. it’s no surprise, then, that with one united voice, the leaders of these organizations joined the groupthink bandwagon as the media parroted whatever they said.   at this point, the everyday americans who paid the price for the errors of the medical establishment can evaluate their performance.  this partial list of catastrophic errors begs for a complete overhaul of our health agencies. the american people, and children in particular, deserve an apology.  click here to read more from dr. marty makary  ",2022-03
3,Lara Trump slams Biden for mask mandates based on 'optics' not science: 'The masks need to go',Fox News Staff,2022-03-16 08:23:00,"  close     video   lara trump rips biden for continued mask mandates not based on 'science': 'it's just optics'   the fox news contributor joined 'fox & friends first' to discuss how the biden administration's mask mandates are about 'control' since the policies are not based on 'science.' new you can now listen to fox news articles!
   fox news contributor lara trump ripped the  biden administration  for continued mask mandates that are not based on ""science,"" claiming the  covid-related  policies are about ""control"" and ""optics."" trump reacted to  senate republicans  calling for an end  covid-19  mask mandates on airplanes and on public transportation.  10 biggest covid mistakes - americans deserve an apology from the medical experts  lara trump:  it's honestly unbelievable as well, two topics that i just can't even wrap my head around. you know, the science hasn't been followed, todd, for a long time by the biden administration. we know that. i got to agree with senator cruz there. yes, you had congress conveniently lifting the mask mandate just in time for the state of the union address so they can all sit comfortably, but the rest of us are forced when we get on an airplane. how can you even walk into an airport to wear a mask? it is unbelievable that we are still doing this and we know the science. we know that unless it's an n95 mask, it's basically providing no protection. it is just optics. it's just for show. i guess joe biden and his administration cannot relinquish control. they want to keep people in some sort of a lockdown state with the masks on. i got to tell you, i can't wait for the first flight whenever we can take those masks off, i'm sure we're going to hear applause from everybody. it's time to let us choose. the masks need to go. watch the entire interview from ""fox & friends first"" below:   video  ",2022-03
4,"Novak Djokovic, Russian players expected to compete at French Open",Associated Press,2022-03-16 09:39:00,"  close     video   fox news flash top headlines for march 16   fox news flash top headlines are here. check out what's clicking on foxnews.com. new you can now listen to fox news articles!
   novak djokovic will be allowed to play at the  french open  even if he is not vaccinated against covid-19 as long as the coronavirus situation in france remains stable, organizers said wednesday. russian tennis players, including top-ranked daniil medvedev, will also be admitted to play in the tournament but as neutral athletes because of the war started by their country in neighboring ukraine. click here for more sports coverage on foxnews.com       organizers said there is nothing at the moment preventing djokovic from defending his title at the clay-court grand slam. france this week lifted measures requiring the need to wear face masks in most settings and allowing people who aren’t vaccinated back into restaurants, sports arenas and other venues. ""at this stage there is nothing to stop him returning to the courts,"" french open director amelie mauresmo said at a news conference. djokovic was deported from australia in january after a legal battle over whether he should be allowed to enter the country, forcing him to miss the australian open. he told the bbc last month that he was willing to miss upcoming grand slam tournaments as well if they required him to get vaccinated. djokovic has won the french open twice and has a total of 20 major titles, one short of the record held by rafael nadal after the spaniard won this year's australian open.     
      serbia's novak djokovic kisses the cup after defeating stefanos tsitsipas of greece in their final match of the french open tennis tournament at the roland garros stadium sunday, june 13, 2021 in paris. (ap photo/thibault camus)
       french tennis federation president gilles moretton said that although djokovic is now free to play, french authorities might be forced to introduce new restrictions if the virus situation deteriorates before the tournament starts on may 22. ""it is not up to us,"" moretton said. ""today there is a little virus that is going around. we are quite confident that the lights are green, but we are all cautious about what has happened over the last two years."" asked whether russian tennis players will be allowed to compete at the tournament in the light of the war in ukraine, organizers said they plan to stick to decisions suspending russia and ally belarus but allowing their players to compete as neutral athletes. the seven groups that run the sport around the world have condemned the war; canceled events in russia and belarus; kicked those two nations out of the billie jean king cup and davis cup team competitions; and announced on march 1 that players from those countries will be allowed to compete in wta, atp and grand slam tournaments but not under the name or flag of russia or belarus. ""we are holding this line,"" said amelie oudea-castera, the french tennis federation director general. other sports, including track and field, soccer and figure skating, have barred russian and belarusian athletes from competition. click here to get the fox news app wimbledon organizers are having conversations with the british government about whether russian players should be allowed to compete at the grass-court tournament this year if they don’t distance themselves from president vladimir putin. oudea-castera said french organizers don't plan to start a detailed and individualized analysis of players' individual situations, which ""can be extraordinarily dependent on the family situations experienced by each of them."" russia invaded ukraine on feb. 24, the day medvedev was assured of moving atop the atp rankings for the first time while competing at the mexico open. ""watching the news from home, waking up here in mexico, was not easy,"" medvedev said then. ""by being a tennis player, i want to promote peace all over the world. we play in so many different countries; i’ve been in so many countries as a junior and as a pro. it’s just not easy to hear all this news. ... i’m all for peace.""  ",2022-03
5,Pfizer-BioNTech seek authorization for second COVID-19 booster,Julia Musto,2022-03-16 10:08:00,"  close     video   fox news flash top headlines for march 16   fox news flash top headlines are here. check out what's clicking on foxnews.com. new you can now listen to fox news articles!
   pfizer and biontech asked u.s. regulators on tuesday to authorize an additional booster dose of their  covid-19   vaccine  for seniors. the companies said  israeli  data suggests that people over the age of 65 would benefit from a fourth dose.  who says no evidence that covid boosters are needed for healthy children, young adults the centers for disease control and prevention (cdc) and the food and drug administration (fda) would need to approve the request. the u.s. currently  recommends  a primary series followed months later by a booster dose for everyone age 12 and older.      
      germaine t. leftwich, 67, receives a pfizer covid-19 vaccine booster shot from dr. tiffany taliaferro at the safeway on capitol hill in washington, d.c., on monday, october 4, 2021. 
       ( tom williams/cq-roll call, inc via getty images) ""the protection that you are getting from the third, it is good enough, actually quite good for hospitalizations and deaths. it’s not that good against  infections ,"" pfizer ceo albert bourla  told  cbs on sunday. ""but, we are just submitting those data to the fda and then we will see what the experts also will say outside pfizer."" while coronavirus cases have plummeted since the winter's omicron surge, with the  agencies  and state and local governments moving to ease pandemic restrictions, public health leaders warn that the world must remain  vigilant  and continue to use the tools that protect against the  virus  and potential new variants.  so far, a fourth dose is only recommended for americans with severely weakened immune systems. fauci says future requirement for additional covid-19 boosters being monitored in november 2021, the cdc  expanded  the eligibility of covid-19 booster shots to all adults ages 18 years and older who received a pfizer-biontech or moderna vaccine at least six months after their second dose. in a tuesday news release, pfizer also cited ""emerging evidence"" and data from kaiser permanente in southern california, which ""suggests that effectiveness against both symptomatic covid-19 and severe disease caused by omicron wanes 3 to 6 months after receipt of an initial booster (third) dose."" although authorities say vaccinations continue to offer protection against severe illness, they haven’t held up as well against milder infections – especially those due to the omicron mutant.    video calls for a booster grew once it became clear the vaccines weren’t as strong against the omicron mutant as they were against earlier versions of the virus. however,  scientists  say now that  most  americans will eventually be infected and that the ultimate goal of vaccination is to prevent severe illness. click here to get the fox news app during the omicron wave, effectiveness against hospitalization was 91% in people who had gotten their booster two months earlier and 78% by the fourth month after that booster. the associated press contributed to this report.   ",2022-03
6,Mitt Romney only Republican senator to oppose repealing TSA mask mandate,Houston Keene,2022-03-16 13:54:00,"  close     video   lara trump rips biden for continued mask mandates not based on 'science': 'it's just optics'   the fox news contributor joined 'fox & friends first' to discuss how the biden administration's mask mandates are about 'control' since the policies are not based on 'science.' new you can now listen to fox news articles!
   sen.  mitt romney , r-utah, was the only republican to vote against repealing  president biden’s  yearlong transportation mask mandate. romney voted against the bill that passed the senate tuesday (57-40) with bipartisan support, which saw eight democrats buck their party to vote with the gop. the utah republican was the only member of his party to vote against the bill. biden’s climate agenda ‘created the perfect storm for putin,’ republicans say     
      sen. mitt romney, r-utah, at the capitol in washington, tuesday, jan. 26, 2021. (ap photo/j. scott applewhite)
       an aide for the senator told fox news digital in a wednesday email that romney has been outspoken about following health guidance and believes that americans should follow the cdc's guidance. the senate’s  vote   came after the biden administration announced last week they would be extending the mask mandate. biden was quick to lay his hand on his holstered veto gun, threatening to shoot the bill out of the sky.     
      president joe biden walks to the oval office of the white house after stepping off marine one, monday, jan. 10, 2022, in washington. biden is returning to washington after spending the weekend at camp david.
       (ap photo/patrick semansky) however, the broad bipartisan support illustrates growing opposition to continuing the mask mandate that the vast majority of republicans — sans romney — have opposed for 13 months. virginia senator tim kaine, a democrat, expressed his opposition to the bill, saying it would not stop at taking down the current centers for disease control and prevention (cdc) order but also prevent future decrees.     
      sen. tim kaine, a democrat from virginia, during a senate foreign relations committee hearing in washington, d.c., on april 27, 2021.
       (susan walsh/ap photo/bloomberg via getty images) kaine also pointed to the rising cases in china and some parts of europe while hypothesizing about another surge in the u.s.  click here to get the fox news app ""wouldn't we want the cdc to have the power immediately upon an upsurge of covid nationally to impose a mask requirement on transportation?"" kaine asked. republican sen. rand paul of kentucky led the repeal effort, saying the successful passage of the bill ""sent a message to unelected government bureaucrats to stop the anti-science, nanny state requirement of travel mask mandates."" the vote did not clear the two-thirds veto-proof majority number, meaning the president’s veto will likely stick. the white house said, ""circumstances under which masks should be required in these settings should be guided by science, not politics.""  ",2022-03
7,University investigation finds 'no merit' to allegations officials suppressed access to Florida COVID data,Ronn Blitzer,2022-03-16 14:40:00,"  close     video   fox news flash top headlines for march 16   fox news flash top headlines are here. check out what's clicking on foxnews.com. new you can now listen to fox news articles!
   the university of  florida  has completed an investigation into claims that university or state officials used pressure to destroy or prevent access to state  covid-19  data, finding that the allegations were meritless. the investigation, conducted by the school's office of the vice president for research and the office of compliance and ethics, was launched after a december 2021 report from the uf faculty senate ad hoc committee on academic freedom. that report alleged that researchers at uf's gainesville campus felt external pressure to destroy data and faced ""barriers"" to accessing, analyzing and publishing their findings. florida recommendation against vaccinating healthy children draws scathing media response ""upon completing its investigation, the committee found no merit to the allegations regarding the handling of covid-19 data at uf,"" the investigation's leaders — vice president for research david norton and chief compliance, ethics and privacy officer terra debois — said in a  letter  to school president kent fuchs.   video the letter said that the investigation included interviews and reviews of various documents which led the investigation committee to believe that the accusations were likely based on an october 2020 incident where a florida department of health representative ""expressed concerns regarding uf's use and management of fdoh data that was gathered exclusively for use in fdoh public health surveillance (phs) activities."" desantis asking students to take off masks results in media ‘meltdowns’ despite maskless sotu address the school officials elaborated, explaining that in the summer of 2020 the fdoh hired university employees to help conduct surveillance for contact tracing purposes and that this included granting them access to fdoh data and having them sign a confidentiality agreement. that october, some of the school employees shared some of that information at a zoom meeting, where some of the other participants were fdoh representatives. according to the university, cdc representatives were also in the meeting. ""these uf employees did not have the authority to share the data or use them for research purposes,"" the letter said. ""in response, the uf team was reminded by university administrators to be cognizant of the boundaries and restrictions related to the use and collection of fdoh data."" fox news reached out to fdoh and a representative for gov. ron desantis for comment but they did not immediately respond.     
      florida gov. ron desantis speaks at the conservative political action conference feb. 24, 2022, in orlando, fla. 
       (ap photo/john raoux) click here to get the fox news app desantis press secretary christina pushaw responded to the investigation's findings by taking a shot at reporters who repeated the allegations. ""let me guess, all the churnalists who wrote those breathless headlines last summer repeating evidence free allegations against @govrondesantis will apologize now. just kidding, they will pretend this never happened,"" pushaw tweeted.  ",2022-03
8,Elizabeth Warren blames price gouging from companies for rising inflation rates,Lindsay Kornick,2022-03-16 17:45:00,"  close     video   media still towing the line that biden has ‘nothing’ to do with inflation: gutfeld   gutfeld and guests discuss rising inflation and the mainstream media perpetuating biden’s narrative ‘putin’s price hike’ on ‘gutfeld!’ new you can now listen to fox news articles!
   sen. elizabeth warren , d-mass., avoided blaming any washington policies for rising  inflation  rates during an interview on cnbc. on wednesday’s ""the exchange,"" warren spoke with power lunch host tyler mathisen on economic issues. one topic mathisen addressed was inflation concerns from voters which he noted she’s frequently blamed on the ""corporate greed"" of oil, software, or food-processing companies. former obama economic adviser predicts stagflation, ‘major’ recession is fed continues current policies       
      washington, dc - september 28: sen. elizabeth warren (d-ma) speaks during a senate armed services committee hearing on the conclusion of military operations in afghanistan and plans for future counterterrorism operations at the dirksen senate office building on capitol hill.
       (photo by stefani reynolds-pool/getty images) she stood by her statement but also placed the blame on the  covid-19  pandemic. ""i think the primary cause of this bout of pricing increases starts with covid. and the fact that we have supply chain kinks and that people rapidly shifted the demand curves so that demand for services went down and demand for goods went up. so those two forced prices up, that’s part one,"" warren said. she went on to explain how certain industries including the meat industry and grocery chains are fixing prices to expand their profits. ""what has also happened is that now that we’re living in america where there’s a lot more concentration in certain industries, look at the oil industry, look at the meat industry, look at groceries generally. what’s happened is that these companies have said ‘you know, we’ll pass along costs, but while we’re at it and everyone’s talking about rising costs let’s just add an extra big dollop of cost increases to expand our profits,’"" warren said. ""part one, yes, very much the pandemic. part two, companies that recognize that because they don’t face a lot of competition can goose those prices up,"" she told mathisen.     
      in this april 29, 2020 file photo, a shopper wears a mask as she walks through the meat products at a grocery store in dallas.
       (ap photo/lm otero) warren has frequently attacked major industries and corporate greed as the source behind increasing costs and inflation. in  november , she called for an investigation into the poultry industry for anti-competitive practices that could explain rising turkey costs. in december, she  accused  grocery store chains of exploiting the pandemic to raise prices and increase profit. indiana factory loses 7% of workforce in two weeks due to high gas prices: ‘too far to drive’   although various industries have cited supply-chain issues behind the higher costs,  president biden  and his administration have since adopted warren’s messaging and are now blaming oil companies for rising gas prices.     
      americans are experiencing the highest gas prices since the 2008 financial crisis, with the national gas price average reaching more than $4 per gallon.
       (getty images) ""but, but, but, but it's no excuse to exercise excessive price increases or padding profits or any kind of effort to exploit this situation or american consumers, exploit them. russia's aggression is costing us all, and it's no time for profiteering or price gouging,"" biden  said  earlier this month. click here to get the fox news app  ",2022-03
9,Uptick in Covid virus cases detected in wastewater sample sites: CDC,Amy McGorry,2022-03-16 18:59:00,"  close     video   dr. makary: covid virus 'behaving less dangerous' than traditional flu   fox news medical contributor dr. marty makary says that a new report reveals that vaccinated immunity as well as natural immunity has reduced the mortality by about 90% and that omicron is now considered less virulent intrinsically than certain flu strains. new you can now listen to fox news articles!
   covid-19 virus  detected in wastewater sampling sites is on the rise, according centers for disease control and prevention (cdc) data. the trend comes as the country recently began lifting mask mandates and easing pandemic restrictions aimed at stopping the spread of the coronavirus. of the 398 current wastewater sampling sites with active data, 44 sites saw an increase of 1000% or more in detection of sars-cov-2 rna wastewater levels and 62 sites saw a 100% to 999% percent increase, during the period of feb 26, 2022 – mar 12, 2022, according to the  cdc covid data tracker .     
      chart showing a 15-day percent change in sars-cov-2 levels in wastewater across the united states from february 26 - march 12. data courtesy of the center for disease control and prevention.
       republicans go for kill shot on covid transportation mask mandates: 'about time' dr. aaron glatt, who serves as the chief of infectious diseases and is an epidemiologist at mount sinai south nassau on long island, new york, told fox news one reason for the uptick could be due to a coronavirus variant. ""we definitely are seeing an increase across our region, across our country, and indeed across the world, of the ba.2 omicron variant."" glatt who is also the chair of the department of medicine and a spokesperson for the infectious diseases society of america also told fox news, ""this probably explains the uptick of cases and the presence of higher values in the wastewater. whether it presages more cases and hospitalizations in the near future - we will find out in a week or two."" glatt also noted, ""we do believe that this strain is more contagious albeit it is not causing more severe illness."" omicron ba.2 sub-variant spreading in new york city the cdc confirmed tuesday, the increased detection of the coronavirus in sewage surveillance systems, after a recent report in  bloomberg  stated that more than a third of the cdc’s wastewater sample sites across the u.s. showed rising covid-19 trends during the time frame from march 1 to march 10.     
      a sample analysis of a wastewater sample with evidence of viral genes of the sars-cov-2 virus can be seen on a monitor in a laboratory at the institute of hygiene and health on march 3, 2022 in hamburg, germany. in a model project, the concentration of sars-cov-2 is to be monitored in wastewater over a period of one year.
       (photo by daniel reinhardt/picture alliance via getty images) although  health  officials have said the number of reported cases of covid-19 have remained at a recent low, the number of sewage surveillance sites with rising covid-19 cases nearly doubled from what it was during the feb. 1 to feb. 10 period, when the highly contagious omicron variant began to wane, according to the media report. during the period of march 1 to march 10, more than one-third (36%) of the sites saw an increase in detection of the virus, which was more than twice the number of wastewater sample sites (15%) that were seeing a rise from feb. 1 to feb. 10, according to the bloomberg analysis. amy kirby, who is the program lead for the national wastewater surveillance system (nwss) at cdc, acknowledged to the media outlet that although there is an uptick in sites seeing an increase, the wastewater levels are generally very low. kirby said in a statement to the media outlet, ""these bumps may simply reflect minor increase from very low levels to still low levels."" pfizer-biontech seek authorization for second covid-19 booster kirby was also quoted as saying, ""some communities though may be starting to see an increase in covid-19 infections, as preventions strategies in many states have changed in recent weeks.""     
      in wastewater, the development of the coronavirus pandemic can be reliably predicted. tu darmstadt, a public german university, is one of only two reference laboratories for the sequencing of wastewater samples in europe, analyzing samples from about 50 wastewater treatment plants from all over europe and coordinates the two hessian pilot projects in frankfurt and wiesbaden.
       (photo by arne dedert/picture alliance via getty images) according to the cdc, a person infected with sars-cov-2 can shed viral rna, the genetic material from the  virus , in their feces. this rna can be detected in community wastewater, which includes water from household or building use such as showers, sinks and toilets that can contain human fecal waste. it also collects water from  rain  and industrial use. the wastewater is collected from a treatment plan and samples are tested for the virus. the data is reported by health departments to the cdc, the federal health agency  explained  on its website. click here to get the fox news app the nwss dcipher system analyzes the data and reports results to the health department for use in their covid-19 response. the results are available to the public through  cdc’s covid data tracker . health officials told fox news said this type of wastewater surveillance could be an early indicator if the number of individuals with covid-19 in a community is increasing or decreasing.  ",2022-03
